id;car_brand;car_model;car_body_type;car_image_url;car_year;car_engine_volume;car_gearbox_type;car_description
1;TATA;copy Games;MINIVAN;https://d24pzayae8hlxp.cloudfront.net/9e7564ab-4ba7-4e97-a3bc-c040e8e2f7c1.png;1971;21;AUTOMATIC;Profit-focused reinvent
2;MCLAREN;Savings Nebraska calculate;LIMOUSINE;https://d24pzayae8hlxp.cloudfront.net/6e6ec922-77c6-466c-9fdb-f1cdff0aa4fa.png;2082;24;AUTOMATIC;non-volatileXXXXXXXX
3;OPEL;Ghana parsing 24;SEDAN;https://d24pzayae8hlxp.cloudfront.net/9e7564ab-4ba7-4e97-a3bc-c040e8e2f7c1.png;2052;16;AUTOMATIC;Mexico NorthernXXXXX
4;RIVIAN;Soap Rustic;CONVERTIBLE;https://d24pzayae8hlxp.cloudfront.net/6e6ec922-77c6-466c-9fdb-f1cdff0aa4fa.png;1963;1;ROBOTIC;Glens synthesizing Practical
5;SAIPA;Paradigm programming;UNIVERSAL;null;1949;17;ROBOTIC;scalable Coordinator actuating
6;ACURA;tertiary IB Bedfordshire;UNIVERSAL;https://d24pzayae8hlxp.cloudfront.net/9e7564ab-4ba7-4e97-a3bc-c040e8e2f7c1.png;1956;3;ROBOTIC;Gorgeous compressing
7;BRILLIANCE;Movies;PICKUP;null;2017;13;AUTOMATIC;DynamicXXXXXXXXXXXXX
8;RIMAC;Bahraini Auto COM;LIMOUSINE;null;1920;1;MECHANIC;SAS optimizingXXXXXX
9;MG;Games Canadian logistical;PICKUP;null;1970;2;ROBOTIC;BritishXXXXXXXXXXXXX
10;INEOS;input Lats Pizza;COUPE;null;2098;6;MECHANIC;input Avon KroonXXXX
